序号,条目类型,厂商/来源,参考价格,卖家/题材名,当前核心认定,最合理年代,身份/用途,关键可见结构,人物/传承层级,主要限定/艺术化风险,保留结论,收藏定位,当前置信度,A/B级参考URL,阶段备注
1,套装,人仔工厂,480元,平教经,平安末期大铠系高级武士,平安末期（12世纪后半）—镰仓初,源平期高级武士；骑射/实战武士题材,大袖；大型吹返；多段錣；栴檀板/鸠尾板式胸前部件；弦走韦式彩绘正面；宽幅草摺,人物题材可成立；无可靠证据证明为平教经本人甲胄复原,巨大蝶形立物承担人物识别，缺乏本人甲依据；侧后结构不足以确认严格大铠闭合与脇楯,保留,源平大铠系共同底模；适合作为实战型高级武士人物节点,中高（甲型/时代）；中低（本人复原）,https://online.bunka.go.jp/db/heritages/detail/490454 ; https://www.tnm.jp/modules/r_exhibition/index.php?controller=item&id=447,与平清盛、源义经高度近似，应视作同一大铠基础造型族；暂不记录混搭。
2,套装,人仔工厂,480元,平清盛,平安末期大铠系高级武士,平安末期（12世纪后半）—镰仓初,源平期高级武士/高阶人物题材,大袖；大型吹返；多段錣；胸前古式护板；弦走韦式彩绘正面；宽幅草摺；鍬形式立物,人物时代相容；无可靠证据证明为平清盛本人甲胄复原,大型鍬形与中央金饰人物化较强；白金涂装令共同底模结构更易读，但并非独有结构,保留候选,源平大铠系共同底模；若同族只选一两件，可因结构重复而降低购买优先级,中高（甲型/时代）；中低（本人复原）,https://online.bunka.go.jp/db/heritages/detail/490454 ; https://www.tnm.jp/modules/r_exhibition/index.php?controller=item&id=447,不应因涂装显眼而认为其甲型优于另外两件；主要问题是收藏重复度。
3,套装,人仔工厂,480元,源义经,平安末期大铠系高级武士,平安末期（12世纪后半）—镰仓初,源平期高级武士；源义经人物题材,大袖；大型吹返；多段錣；胸前古式护板；弦走韦式虎纹彩绘正面；宽幅草摺,有大山祇神社传源义经赤丝威铠可对照；商品明显不是该传承甲直接复原,巨型兽面/长立物角色化强；传义经甲兜已缺失，不能以传承甲为商品兜背书,保留,源平大铠系共同底模；重要人物节点，也是“人物题材≠本人甲复原”的典型对照,中高（甲型/时代）；低（本人甲对应）,https://www.pref.ehime.jp/ehimenotakara/163.html,人物时代与甲型相容，但必须与大山祇神社传义经甲分开认定。
4,套装,人仔工厂,480元,今川义元,室町末—战国中期高级武士胴丸系/传统小札威甲,16世纪前中期,战国中期高级武士/大名级人物题材,小札威甲；多段錣；袖；胴与分段草摺关系清楚；背部未见明显中央引合，现阶段更偏胴丸方向,人物题材相容；当前无足够依据认定为今川义元本人传世甲复原,尚缺清楚右胁闭合特写，胴丸判断保留余量；人物名不为甲型本身加分,重点保留,室町末—战国中期传统甲胄结构主线的重要候选,中高（甲型/时代）；中低（本人复原）,https://emuseum.nich.go.jp/detail?content_base_id=100488&content_part_id=2&content_pict_id=0&langId=ja,即使去掉人物名，仍可作为16世纪中叶高级武士传统威甲样本。
7,套装,人仔工厂,480元,毛利元就,室町末—战国中期传统小札/威甲系高级武士具足,16世纪前中期,战国中期高级武士/大名级人物题材,小札/威甲视觉；袖、胴、草摺关系协调；人物符号较克制；当前侧后证据不足以精分胴丸/腹卷,毛利元就有官方记录的御佳例吉甲胄关系资料；商品并非该传承甲复原,大型金色立物仍属人物化；具体胴型暂不硬分，避免仅凭正面纹理定型,重点保留,战国中期传统威甲结构主线；泛用性高,中高（甲型/时代）；中低（本人甲对应）,https://bunkazai.pref.yamaguchi.lg.jp/sp/bunkazai/summary.asp?mid=90053 ; https://emuseum.nich.go.jp/detail?content_base_id=100488&content_part_id=2&content_pict_id=0&langId=ja,结构收藏价值接近今川；去掉人物名仍能作为16世纪高级武士传统威甲使用。
8,配件,人仔工厂,,十文字枪,十文字槍（类型成立，但槍穗整体明显放大）,室町后期—安土桃山（16世纪为强锚点；后世仍见）,武士/武将用高辨识度长柄武器；不作为普通足轻标准枪的默认代表,长直主穗＋左右枝刃构成十文字槍；主刃较长且宽，两侧枝刃也宽大，整个槍穗相对人仔比例明显偏大；红柄与金色口金强化展示性,不涉及人物本人认定；十文字槍类别可由16世纪博物馆实物直接对型,主要问题是比例而非类别：槍穗接近英雄武器尺度，主刃和枝刃视觉重量均偏高；枝刃也较直、角化,保留,日本武器配件节点；适合作战国—桃山武士/武将的高辨识度十文字槍，但不是标准比例基准件,高（器物类型）；中（比例与具体造型还原）,https://www.tnm.jp/modules/r_exhibition/index.php?controller=item&id=7995&lang=ja ; https://jmapps.ne.jp/scm/det.html?data_id=3534,类型判断稳定；保留价值来自器物辨识度，明确备注槍穗过大。
10,套装,人仔工厂,480元,德川家康,以家康所用歯朶具足为直接母题的艺术化当世具足,安土桃山—江户初,德川家康人物节点；高级大名具足,黑色具足基础；獅噛、日轮与左右歯朶前立组合；白鬚/面部意匠；多段草摺,明确对应久能山东照宫所藏德川家康所用伊予札黑丝威胴丸具足（歯朶具足）,前立比例明显放大；原物沉稳黑漆被商品强化为红金华丽配色；巨大多叉长柄兵器明显幻想化，严重拉低原套协调,保留,本人传世整套母题清楚的人物节点；原套艺术化明显，不作为最干净的当世具足基准,高（人物/母题识别）；中高（甲胄结构）；中（原套整体）,https://kunishitei.bunka.go.jp/heritage/detail/201/6926 ; https://www.toshogu.or.jp/worship/souvenir.php,历史母题非常明确，但原套武器与装饰比例必须单独记为明显艺术化。
11,套装,人仔工厂,480元,本多忠胜,以本人所用鹿角脇立兜、二枚胴具足及蜻蛉切意匠为核心的高对应人物套装,安土桃山（16世纪末）,本多忠胜人物节点；高级武将当世具足,黑色鹿角脇立；獅噛前立；黑色二枚胴方向；大型金色数珠；笹叶形大身槍意匠,兜、胴、数珠均有本人所用完整具足强锚点；武器亦对应蜻蛉切传统,鹿角在人仔比例下仍略戏剧化；部分板札和金具被简化，頬当等部件有省略；蜻蛉切细部雕刻未必精确,重点保留,目前人仔工厂日本线最接近“本人传世整套武装人仔化复原”的核心收藏件之一,高（甲型/时代/人物对应）；中高～高（原套整体）,https://online.bunka.go.jp/db/heritages/detail/210439 ; https://www.city.kuwana.lg.jp/hisyokoho/kosodatekyouiku/kidspage/tadakatsu.html,文化财名虽含“胴丸具足”，技术结构为铁蝶番二枚胴；数据库历史类型宜按现代结构认作桃山当世具足（二枚胴）。
12,套装,人仔工厂,480元,黑田长政,本人所用桃形大水牛脇立兜＋桃山高级武将当世具足的组合性人物表现,安土桃山（16世纪末—17世纪初）,黑田长政人物节点；高级大名/武将题材,黑色桃形兜；巨大金色大水牛脇立；圆形金色前立；黑金红色晚期具足语言,兜直接对应黑田长政本人所用桃形大水牛脇立兜传统；甲身未证实为该兜原配本人胴,不能把“本人真兜”与另一套长政传世五枚胴具足拼成整套复原；武器也不能自动认作日本号或其他黑田家名槍,保留,本人传世标志性头盔节点＋时代合理甲身；人物辨识度与史料锚点都强,高（兜/人物对应）；中高（整套时代协调）；中（本人整甲对应）,https://museum.city.fukuoka.jp/archives/leaflet/246/index04.html ; https://kunishitei.bunka.go.jp/heritage/detail/201/7157,兜的高可信度不能借给全身；适合作为黑田人物节点，不作为完整本人具足复原。
13,套装,人仔工厂,480元,福岛正则,以大水牛脇立兜传承为人物锚点的桃山武将具足,安土桃山—江户初,福岛正则人物节点；高级武将题材,高耸黑色兜鉢；金色大水牛脇立；短錣；蓝黑白金威甲；大型长柄兵器,福岛正则与黑田长政交换大水牛兜的传承有福冈市博物馆资料支持；整套甲身并非本人明确传世复原,兜比例被拉高，水牛角较粗短；甲身人物化；长柄兵器与日本号大身槍结构明显不符，幻想化严重,有条件保留,人物节点价值高于甲型节点；与黑田长政大水牛视觉存在一定收藏重复,中高（人物兜意匠）；中（整套）；低（武器对应）,https://museum.city.fukuoka.jp/archives/leaflet/092/index.html ; https://museum.city.fukuoka.jp/topics/kuroda.html,若最终精简人物线，可在黑田/福岛大水牛题材之间比较取舍。
